County, Civilian Labor Force,Employed,Unemployed,Unemployment Rate
State Total,1418522,1355720,62802,4.4
Beaver,3387,3248,139,4.1
Box Elder,21050,19979,1071,5.1
Cache,63004,60758,2246,3.6
Carbon,9419,8862,557,5.9
Daggett,433,411,22,5.1
Davis,151430,145089,6341,4.2
Duchesne,11064,10682,382,3.5
Emery,4713,4430,283,6
Garfield,2693,2439,254,9.4
Grand,5513,5100,413,7.5
Iron,19468,18411,1057,5.4
Juab,4297,4074,223,5.2
Kane,3398,3214,184,5.4
Millard,6032,5794,238,3.9
Morgan,4465,4291,174,3.9
Piute,696,661,35,5
Rich,1241,1197,44,3.5
Salt Lake,579712,555407,24305,4.2
San Juan,4942,4484,458,9.3
Sanpete,10694,10070,624,5.8
Sevier,9531,9037,494,5.2
Summit,23208,22296,912,3.9
Tooele,29536,27989,1547,5.2
Uintah,18043,17387,656,3.6
Utah,241401,231132,10269,4.3
Wasatch,10724,10177,547,5.1
Washington,61700,58527,3173,5.1
Wayne,1260,1111,149,11.8
Weber,115472,109464,6008,5.2
